<img src='/images/snake/tiny_cards/Prueba.PNG' />;<img src='/images/snake/cards/Prueba.PNG' />;Prueba;Común;6; -;Entrénate. El score de la partida no será guardado.;Jugarás una partida donde sólo aparecen manzanas shampoo y donde no se guardará absolutamente nada de dicha partida. Sirve para practicar. Esta carta no se puede combinar con otras.;
<img src='/images/snake/tiny_cards/Lengua.PNG' />;<img src='/images/snake/cards/Lengua.PNG' />;Lengua;Común;3;10;La serpiente atrapa una fruta con la lengua. Los puntos de la fruta se duplican.;La serpiente puede atrapar una o más frutas a corta distancia con la lengua, duplicando el puntaje de dichas.;
<img src='/images/snake/tiny_cards/Regadera.PNG' />;<img src='/images/snake/cards/Regadera.PNG' />;Regadera;Común;1; -;Aumenta la frutibarra en 8%.;Aumenta la frutibarra en 8%, desde el inicio de la partida.;
<img src='/images/snake/tiny_cards/Herbicida.PNG' />;<img src='/images/snake/cards/Herbicida.PNG' />;Herbicida;Común;1; -;Las frutas negativas desaparecen rápidamente y no te hacen engordar.;Las frutas negativas desaparecen rápidamente y no te hacen engordar.;
<img src='/images/snake/tiny_cards/Pirata.PNG' />;<img src='/images/snake/cards/Pirata.PNG' />;Pirata;Común;2;12;Con cada uso aparece una caja de frutas;Hace aparecer una caja de frutas.;
<img src='/images/snake/tiny_cards/Ardilla.PNG' />;<img src='/images/snake/cards/Ardilla.PNG' />;Ardilla;Común;2; -;El score que te dan las nueces se multiplica x5.;"El puntaje que te dan las frutas con la palabra ""nuez"" en su descripción se multiplica por 5.";
<img src='/images/snake/tiny_cards/Aguja.PNG' />;<img src='/images/snake/cards/Aguja.PNG' />;Aguja;Común;-1; -;La frutibarra disminuye automáticamente.;La frutibarra disminuye automáticamente.;
<img src='/images/snake/tiny_cards/Rlj.arena.PNG' />;<img src='/images/snake/cards/Rlj.arena.PNG' />;Rlj.arena;Común;1; -;Las frutas se quedan más tiempo en el juego.;Las frutas se quedan un tercio más de tiempo que sin esta carta en el juego. Sólo se puede usar una de estas cartas a la vez.;
<img src='/images/snake/tiny_cards/Nube.PNG' />;<img src='/images/snake/cards/Nube.PNG' />;Nube;Común;2; -;Los escudos y los puntos aumentan cuando la serpiente acelera.;Los escudos y los puntos aumentan cuando la serpiente acelera.;
<img src='/images/snake/tiny_cards/Tijerillas.PNG' />;<img src='/images/snake/cards/Tijerillas.PNG' />;Tijerillas;Común;1; -;Corta el 10% de la cola de tu serpiente.;Corta el 10% de la cola de tu serpiente.;
<img src='/images/snake/tiny_cards/Sorpresa.PNG' />;<img src='/images/snake/cards/Sorpresa.PNG' />;Sorpresa;Común;0; -;Hace aparecer una fruta de alto rango al comienzo de la partida.;;
<img src='/images/snake/tiny_cards/Esponja.PNG' />;<img src='/images/snake/cards/Esponja.PNG' />;Esponja;Común;1;9;;;
<img src='/images/snake/tiny_cards/Cinta.PNG' />;<img src='/images/snake/cards/Cinta.PNG' />;Cinta;Común;1; -;Puedes recoger las frutas y los bonus con la punta de la cola.;Tu serpiente llevará una cinta en la cola, que cuando esta toque a las frutas, las llevará directo a la boca.;
<img src='/images/snake/tiny_cards/Radar.PNG' />;<img src='/images/snake/cards/Radar.PNG' />;Radar ;Común;1;;;;
<img src='/images/snake/tiny_cards/Lupa.PNG' />;<img src='/images/snake/cards/Lupa.PNG' />;Lupa;Común;1;;;;
<img src='/images/snake/tiny_cards/Sal.PNG' />;<img src='/images/snake/cards/Sal.PNG' />;Sal;Común;1; -;El score de cada fruta es aumentado en 100 puntos.;Por cada carta de estas que se tiene, el puntaje de cada fruta es aumentado en 100 puntos.;
<img src='/images/snake/tiny_cards/Cucharon.PNG' />;<img src='/images/snake/cards/Cucharon.PNG' />;Cucharon;Común;2;;;;
<img src='/images/snake/tiny_cards/Queso.PNG' />;<img src='/images/snake/cards/Queso.PNG' />;Queso;Común;0; -;Ganas 5000 puntos al final de la partida.;Ganas 5000 puntos al final de la partida.;
<img src='/images/snake/tiny_cards/Pelota.PNG' />;<img src='/images/snake/cards/Pelota.PNG' />;Pelota;Común;2;;;;
<img src='/images/snake/tiny_cards/Ventosa.PNG' />;<img src='/images/snake/cards/Ventosa.PNG' />;Ventosa;Común;1;;;;
<img src='/images/snake/tiny_cards/Pico.PNG' />;<img src='/images/snake/cards/Pico.PNG' />;Pico;Común;4;;;;
<img src='/images/snake/tiny_cards/Mago.PNG' />;<img src='/images/snake/cards/Mago.PNG' />;Mago;Común;1;;;Junta a todas las frutas que hay en la pantalla en el centro.;
<img src='/images/snake/tiny_cards/Poc.azul.PNG' />;<img src='/images/snake/cards/Poc.azul.PNG' />;Poc.azul;Común;2; - ;Tu serpiente puede tocar su propia cola durante 10 segundos. ;Tu serpiente puede chocarse consigo misma y a partir de ahí se tienen 10 segundos donde puede pasar por encima de sí misma hasta que vuelve a la normalidad. No conviene enredarse demasiado porque luego es difícil desenredarse sin chocarse contra sí mismo.;
<img src='/images/snake/tiny_cards/Poc.rosa.PNG' />;<img src='/images/snake/cards/Poc.rosa.PNG' />;Poc.rosa;Común;-1;;;;
<img src='/images/snake/tiny_cards/Altavoz.PNG' />;<img src='/images/snake/cards/Altavoz.PNG' />;Altavoz;Común;2; -;Los puntos de las frutas son duplicados durante los 90 primeros segundos.;Los puntos de las frutas son duplicados durante los 90 primeros segundos. Si se tienen dos cartas, los puntajes se cuatriplican, y así sucesivamente. Si se tienen otras cartas que afectan los puntajes, el efecto se aplica a los puntajes cambiados. Ejemplo: Usando la carta Sal, un pocarán daría 110 puntos, más dos cartas de Altavoz da 440.;
<img src='/images/snake/tiny_cards/Hamburg..PNG' />;<img src='/images/snake/cards/Hamburg..PNG' />;Hamburg.;Común;-1; -;La serpiente comienza con más de 100cm.;La serpiente comienza con más de 100cm.;
<img src='/images/snake/tiny_cards/Iman.PNG' />;<img src='/images/snake/cards/Iman.PNG' />;Iman;Común;3; -;Las frutas cercanas son atraídas hacia la serpiente.;En la cabeza de la serpiente se verá un campo de atracción donde cualquier fruta que se encuentre en él será atraída hasta la serpiente. Si se tienen dos cartas, el campo de atracción se duplica.;
<img src='/images/snake/tiny_cards/Frenos.PNG' />;<img src='/images/snake/cards/Frenos.PNG' />;Frenos;Común;2;;;;
<img src='/images/snake/tiny_cards/Kazoo.PNG' />;<img src='/images/snake/cards/Kazoo.PNG' />;Kazoo;Común;3;7;Crea una serie de frutas delante de la serpiente.;Al accionarla aparecen cinco frutas al azar.;
<img src='/images/snake/tiny_cards/Cuerno.PNG' />;<img src='/images/snake/cards/Cuerno.PNG' />;Cuerno;Común;2;6;;;
<img src='/images/snake/tiny_cards/R.Fuerte.PNG' />;<img src='/images/snake/cards/R.Fuerte.PNG' />;R.Fuerte;Común;1; -;;Aparece el símbolo de la roca siempre en el mismo lugar, y al cogerlo da 500 puntos.;
<img src='/images/snake/tiny_cards/Ketchup.PNG' />;<img src='/images/snake/cards/Ketchup.PNG' />;Ketchup;Común;3; -;Todas las frutas valen como mínimo 50 puntos.;;
<img src='/images/snake/tiny_cards/Embudo.PNG' />;<img src='/images/snake/cards/Embudo.PNG' />;Embudo;Común;1;;;;
<img src='/images/snake/tiny_cards/Fantasma.PNG' />;<img src='/images/snake/cards/Fantasma.PNG' />;Fantasma;Común;-1; -;Al segundo minuto tu serpiente es atrapada por un fantasma.;;
<img src='/images/snake/tiny_cards/Poc.verde.PNG' />;<img src='/images/snake/cards/Poc.verde.PNG' />;Poc.verde;Común;2;20;;Todo lo que esta siendo digerido por la serpiente es vomitado al activarla.;
<img src='/images/snake/tiny_cards/Arco iris.PNG' />;<img src='/images/snake/cards/Arco iris.PNG' />;Arco iris;Común;0; -;Tu partida cuenta para el torneo Arco Iris diario.;El puntaje de tu partida entrará en el Top Arco Iris. Las mejores cinco puntuaciones se llevan un billete de lotería.;
<img src='/images/snake/tiny_cards/Espina.PNG' />;<img src='/images/snake/cards/Espina.PNG' />;Espina;Común;1; -;Cuando comes una flor, tu cola disminuye en 50cm. Su uso crea una flor.;"Cuando comes una fruta con ""flor"" en su descripción, tu cola disminuye en 50cm. Su uso crea una flor. (siemrpe es frubillón?)";
<img src='/images/snake/tiny_cards/Extasis.PNG' />;<img src='/images/snake/cards/Extasis.PNG' />;Extasis;Común;1; -;Aumenta la aparición de pastillas. Estas aumentan tu frutibarra en 8%.;Aumenta la aparición de pastillas. Estas aumentan tu frutibarra en 8%.;
<img src='/images/snake/tiny_cards/R.Flora.PNG' />;<img src='/images/snake/cards/R.Flora.PNG' />;R.Flora;Común;1; -;Cuando tocas la runa, las frutas ganan 3 categorias.;Aparece el símbolo de la roca, y al cogerlo, todas las frutas que se encuentren en la pantalla cambiarán a la fruta cuyo número en la enciclofruta sea doce unidades mayor que el de dichas.;
